name,type,region,locality,geolocation
дом архитектора,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Архитектор дома (Даум Рысин),архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
Дом архитектора Ф.Е. Пономаревой,архитектура,Забайкальский край,Чита,"(Decimal('118.645746'), Decimal('52.459782'))"
Дом атамана Ф.Ю. Бурсака,архитектура,Краснодарский край,Краснодар,"(Decimal('38.935473'), Decimal('45.131536'))"
Дом братьев Столетовых,архитектура,Владимирская область,Владимир,"(Decimal('40.413121'), Decimal('56.133076'))"
Дом в Потапове,архитектура,Москва,,"(Decimal('37.678343'), Decimal('55.788368'))"
Заместитель губернатора Палаты представителей,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
магистраты дома,архитектура,Пермь,Соликамск,"(Decimal('56.771029'), Decimal('59.648333'))"
магистраты дома,архитектура,Красноярский край,Питорафик,"(Decimal('92.173769'), Decimal('58.453069'))"
Дом военного губернатора Амурской области,архитектура,Амурская область,Благовещенск,"(Decimal('128.13341'), Decimal('51.689398'))"
Дом Волжского пароходства,архитектура,Ярославская область,Мышкин,"(Decimal('38.454587'), Decimal('57.786654'))"
Домашний врач Мартынов С.В.,архитектура,Воронежская область,Воронеж,"(Decimal('39.164247'), Decimal('51.701105'))"
Дом вятских губернаторов,архитектура,Кировская область,Киров,"(Decimal('49.594567'), Decimal('58.508738'))"
Дом горного вождя,архитектура,Республика Карелия,Петрозаводск,"(Decimal('34.33591'), Decimal('61.806405'))"
Родной город архитектора К. П. Чакина,архитектура,Тюменская область,Тюмень,"(Decimal('65.397784'), Decimal('57.272057'))"
Дом мэра Ф. Ина Шветова,архитектура,Курганская область,Курган,"(Decimal('65.341118'), Decimal('55.441004'))"
дом мэра,архитектура,Тюменская область,Тюмень,"(Decimal('65.397784'), Decimal('57.272057'))"
Городская больница Хауса,архитектура,Ярославская область,,Not found
грузчики,архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
дом губернатора,архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
дом губернатора,архитектура,Республика Башкортостан,Уфа,"(Decimal('55.990581'), Decimal('54.720231'))"
Дом дворянки Войткевич,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом Дворянского собрания,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом декабриста Розена,архитектура,Курганская область,Курган,"(Decimal('65.334893'), Decimal('55.430319'))"
Дом для сотрудников банка,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.917546'), Decimal('54.99243'))"
дом железнодорожников,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.989395'), Decimal('56.279337'))"
Дом пригоден для проживания,архитектура,Тюменская область,Тюмень,"(Decimal('65.523036'), Decimal('57.151969'))"
Дом жилой мещанин А.И. Василькова.,архитектура,Тюменская область,,"(Decimal('68.096045'), Decimal('57.541821'))"
Жилой дом с магазинами купца Я. А. Немчинова.,архитектура,Республика Бурятия,Улан-Удэ,Not found
Дом и больница доктора И.А. Сяно,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Дом из усадьбы Н.И. Давыдова.,архитектура,Тюменская область,Тюмень,"(Decimal('65.534328'), Decimal('57.153033'))"
Инженерный дом Остапца,архитектура,Курганская область,Курган,"(Decimal('65.334893'), Decimal('55.430319'))"
Дом инженера Перцова,архитектура,Москва,,"(Decimal('37.577427'), Decimal('55.769747'))"
Казначейский дом,архитектура,Ярославская область,Мышкин,"(Decimal('38.454587'), Decimal('57.786654'))"
Дом княгини Гагариной,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Дом компании &quot;Схефальс и Эсдерс&quot;,архитектура,Санкт-Петербург,Санкт-Петербург,Not found
дом композиторов,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
дом консервщиков,архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
Дом крестьянки А. Ю. Капитановой,архитектура,Тюменская область,Тюмень,"(Decimal('65.397784'), Decimal('57.272057'))"
дом священника,архитектура,Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
дом Кириллова,архитектура,Свердловская область,Кунар,Not found
Дом культуры Октябрьской революции,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.909659'), Decimal('55.026432'))"
Торговое собрание Дома,архитектура,Калужская область,Калуга,"(Decimal('36.263784'), Decimal('54.506857'))"
Гильдия торговцев Дом Святого Духа,архитектура,Ленинградская область,Выборг,"(Decimal('29.486516'), Decimal('60.420888'))"
Дом купца А.Д. Рычина,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом купца А.М.Лушникова,архитектура,Республика Бурятия,Кяхтинский,"(Decimal('106.449903'), Decimal('50.355214'))"
Дом купца А. Лебедева,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Дом купца А.К. Поснова,архитектура,Ярославская область,Углич,Not found
Дом Купца Алексеева,архитектура,Волгоградская область,Волгоград,"(Decimal('44.404147'), Decimal('48.574612'))"
Дом купца Бородкина,архитектура,Красноярский край,Питорафик,"(Decimal('92.173769'), Decimal('58.453069'))"
Дом купца В.И. Смирновой,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.841289'), Decimal('56.234105'))"
Дом Торговца Векрута,архитектура,Ленинградская область,Выборг,"(Decimal('29.486516'), Decimal('60.420888'))"
Дом купца Г. Р. Бейлина,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Дом купца Г.П. Лариной,архитектура,Амурская область,Благовещенск,"(Decimal('127.599587'), Decimal('50.366046'))"
Дом Купца Донцова (ЖК Трест «Нижневолгоэлектромонтаж»),архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
Дом купца З.Г. Крюкова,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Дом купца И.Г. Пшеничникова.,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Дом купца И. Ефремовой,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Дом купца И.Ю. Андреева.,архитектура,Курганская область,Курган,"(Decimal('65.334893'), Decimal('55.430319'))"
Дом купца И.Т. Сурикова (женская гимназия П.А. Смирнова),архитектура,Новосибирская область,Новосибирск,"(Decimal('82.981919'), Decimal('55.053196'))"
Дом Купца Ищенко,архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
Дом купца Кытманова,архитектура,Красноярский край,Питорафик,"(Decimal('92.15441'), Decimal('58.439982'))"
Дом купца М.К. Курбатова.,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.660823'), Decimal('51.869022'))"
Покупатель дома Бабикова Н.Г.,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Дом Купца Н.Л. Капельмана,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.660823'), Decimal('51.869022'))"
Дом Купицы Орликовой,архитектура,Забайкальский край,Сретенск,"(Decimal('118.645746'), Decimal('52.459782'))"
Пожар в доме Квпка,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Дом купца П.Т. Трунева,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.660823'), Decimal('51.869022'))"
Дом купца Павлова (Дом книги) в Смоленске,архитектура,Смоленская область,Смоленск,"(Decimal('32.014088'), Decimal('54.773496'))"
Дом Купца Полякова,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Дом купца Пятова на Рождество,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Покупатель дома Ракова,архитектура,Калужская область,Калуга,"(Decimal('36.263784'), Decimal('54.506857'))"
Дом купца Селиванова,архитектура,Белгородская область,Белгород,"(Decimal('36.587223'), Decimal('50.59566'))"
Дом купца Серебрянникова,архитектура,Орловская область,Орел,"(Decimal('36.063837'), Decimal('52.970371'))"
Дом купца Сливчанского,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Дом купца Спирина (центр традиционной народной культуры Никольское),архитектура,Вологодская область,Никольский,"(Decimal('45.471642'), Decimal('59.527546'))"
Дом купца Суханова,архитектура,Республика Коми,Сыктывкар,"(Decimal('50.836399'), Decimal('61.668793'))"
Дом Купца Сычева,архитектура,Алтайский край,,"(Decimal('83.783378'), Decimal('53.317682'))"
Покупатель дома Телегина,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Покупатель дома Теренина,архитектура,Калужская область,Калуга,"(Decimal('36.263784'), Decimal('54.506857'))"
Дом купца Ф.М. Рязанцева,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
Дом купца Чернухиной,архитектура,Самарская область,Сызрань,"(Decimal('48.474485'), Decimal('53.155782'))"
Дом купца Чеснокова,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом торговца Эдельштейна,архитектура,Забайкальский край,Сретенск,"(Decimal('118.645746'), Decimal('52.459782'))"
Дом купца Ю.А. Истомина,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Дом купцов Агафуровых,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.586174'), Decimal('56.838568'))"
Дом купца Евреинова,архитектура,Ярославская область,Углич,"(Decimal('38.319372'), Decimal('57.526592'))"
Дом купцов Ижболиных,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.586174'), Decimal('56.838568'))"
Дом купца Казанцева,архитектура,Свердловская область,Ирбит,"(Decimal('63.057664'), Decimal('57.683819'))"
Торговцы домами Кекин,архитектура,Ярославская область,Ростов,"(Decimal('39.414526'), Decimal('57.185866'))"
Дом купца Лошкарёва,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом купца Пьянкова,архитектура,Архангельская область,Сольвычегодск,"(Decimal('46.928089'), Decimal('61.330589'))"
Дом купца Столбовая,архитектура,Ярославская область,Мышкин,"(Decimal('38.454587'), Decimal('57.786654'))"
Дом купца Шадрина,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Дом купца Шумова,архитектура,Забайкальский край,Чита,"(Decimal('118.645746'), Decimal('52.459782'))"
Дом Яковлева и купцов Поляковой,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Дом купчихи Т. Борисовой,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.660823'), Decimal('51.869022'))"
Домашний торговец Д.М. Пахолкова,архитектура,Республика Бурятия,Улан-Удэ,"(Decimal('107.660823'), Decimal('51.869022'))"
Домашний торговец ИП Нечаева,архитектура,Тюменская область,Тюмень,"(Decimal('65.397784'), Decimal('57.272057'))"
Домашний торговец М. Розенфельд,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
Домашний мещанин М.А. Рубцов.,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Домашний мещанин Н. В. Лазарев.,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Дом на набережной Тинкерс,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
Дом на Набережной,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
"Дом на улице Чехова, 7",архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.353202'), Decimal('59.937265'))"
Дом начальника Алтайского горного округа,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Дом обороны,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.628421'), Decimal('56.823129'))"
Клерки Домашнего общества,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Общественное собрание дома,архитектура,Пермь,Соликамск,"(Decimal('56.771029'), Decimal('59.648333'))"
офицеры дома,архитектура,Иркутская область,Иркутск,"(Decimal('104.357736'), Decimal('52.249324'))"
Дом офицеров Волгоградского гарнизона.,архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
типография,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
типография,архитектура,Волгоградская область,Волгоград,"(Decimal('44.483639'), Decimal('48.684565'))"
Дом литераторов в Лаврушинском переулке,архитектура,Москва,,Not found
Дом под чертой,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
Дом под шпилем,архитектура,Алтайский край,Барнаул,"(Decimal('83.776856'), Decimal('53.346785'))"
Подрядчик по строительству домов Смирнов,архитектура,Ярославская область,Мышкин,"(Decimal('38.454587'), Decimal('57.786654'))"
Дом помещика Коробкова,архитектура,Белгородская область,,Not found
Домашняя почта,архитектура,Кировская область,Киров,"(Decimal('49.594567'), Decimal('58.508738'))"
Суды,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Дом духовенства Никольской церкви,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Дом с башней и шпилем,архитектура,Магаданская область,Магадан,Not found
Дом с драконами,архитектура,Томская область,Томск,"(Decimal('85.050946'), Decimal('56.469513'))"
Дом с магазином Хнюниной и Коновалова,архитектура,Красноярский край,Питорафик,"(Decimal('92.173769'), Decimal('58.453069'))"
Домашние часы,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Дом с часами и шпилем,архитектура,Магаданская область,Магадан,Not found
Почтовый дом (главпочтамт),архитектура,Кировская область,Киров,"(Decimal('49.594567'), Decimal('58.508738'))"
Секретарь палаты Вятской губернской канцелярии А. И. Перминова,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
"Дом со львами, или отель Шванвич.",архитектура,Воронежская область,Воронеж,"(Decimal('39.200269'), Decimal('51.660781'))"
Дом со зверями,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
Дом со львами,архитектура,Пермь,Пермский,"(Decimal('56.253967'), Decimal('58.006473'))"
Дом со львами,архитектура,Смоленская область,Смоленск,"(Decimal('34.207091'), Decimal('55.489667'))"
Духовенство домашнего собора,архитектура,Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
Дом солепромышленника Дубровина,архитектура,Пермь,Соликамск,"(Decimal('56.771029'), Decimal('59.648333'))"
Компания по страхованию жилья «Россия»,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
Дом титулярного советника Е. З. Алексеевой,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Домашний фотограф Кочешева,архитектура,Курганская область,Курган,"(Decimal('65.334893'), Decimal('55.430319'))"
дом художников,архитектура,Ярославская область,Рыбинск,"(Decimal('38.858406'), Decimal('58.048454'))"
"Дом, где жил Л. Н. Сталь",архитектура,Кировская область,Киров,"(Decimal('49.594567'), Decimal('58.508738'))"
Дом-гармошка,архитектура,Воронежская область,Воронеж,"(Decimal('39.200269'), Decimal('51.660781'))"
Дом-музей В.И. Калашникова,архитектура,Ярославская область,Углич,"(Decimal('38.34581'), Decimal('57.53354'))"
Дом-музей П.П. Бажова,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Дом-памятник И.А. Гончарову,архитектура,Ульяновская область,Ульяновск,"(Decimal('48.318484'), Decimal('54.301117'))"
Птичий Дом,архитектура,Ивановская область,Иваново,"(Decimal('40.973921'), Decimal('57.000348'))"
Дом-усадьба А.М. Устинова,архитектура,Пензенская область,граб,"(Decimal('45.063312'), Decimal('53.377269'))"
Дом-усадьба Бахметевых-Оболенских,архитектура,Пензенская область,Никольский,"(Decimal('46.084356'), Decimal('53.71447'))"
Дом-усадьба купца второй гильдии В. Я. Атаманова),архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Дом А.М. Рифмана,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
VI дома Шемяка,архитектура,Курская область,Горно,"(Decimal('34.661801'), Decimal('51.574168'))"
дом Коробкова,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Дома купцов А.Д. Смолина и Т.Е. Колесникова,архитектура,Курганская область,,Not found
Дома купцов Шелихова,архитектура,Курская область,Горно,"(Decimal('34.681043'), Decimal('51.571263'))"
Усадебный дом ГС Колошин,архитектура,Кировская область,Киров,"(Decimal('49.668014'), Decimal('58.603591'))"
"Дома, раскрашенные под &quot;Дымку&quot;",архитектура,Кировская область,Киров,"(Decimal('49.745664'), Decimal('58.417482'))"
Доходные дома Мещанского общества,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.350678'), Decimal('59.937535'))"
Доходные дома Третьякова,архитектура,Костромская область,Кострома,"(Decimal('40.940036'), Decimal('57.781572'))"
Доходный дом Челишева,архитектура,Самарская область,Самара,"(Decimal('50.198406'), Decimal('53.36437'))"
Многоквартирный дом,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Доходный дом (бывшая гостиница «Россия»),архитектура,Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Многоквартирный дом Долище,архитектура,Псковская область,Псков,"(Decimal('28.332451'), Decimal('57.819274'))"
Доходный дом Г.В. Уварова,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Многоквартирный дом Е.А. Хребтовая,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Доходный дом Елисеева,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Доходный дом Елисеева на Васильевском острове,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.315868'), Decimal('59.939095'))"
Многоквартирный дом Зайцева,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
"Доходный дом Коммерческого училища, дом К. А. Варламова",архитектура,Санкт-Петербург,Санкт-Петербург,Not found
Доходный дом М. Лихачева,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Доходный дом М.А.Бергута,архитектура,Забайкальский край,Чита,"(Decimal('118.645746'), Decimal('52.459782'))"
МВ Доходный Дом Сокол,архитектура,Москва,,"(Decimal('37.514787'), Decimal('55.805042'))"
Многоквартирный дом М.Н. Миансарова,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
Многоквартирный дом М.Н. Пяткова,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.958761'), Decimal('55.041787'))"
Доходный дом Московского купеческого общества,архитектура,Москва,,Not found
Многоквартирный дом Н.А. Бугров,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.982909'), Decimal('56.31231'))"
Многоквартирный дом Степанова,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Доходный дом Третьяков,архитектура,Москва,,"(Decimal('37.637874'), Decimal('55.770218'))"
Доходный дом братьев Фроловых,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('43.989395'), Decimal('56.279337'))"
Доходный дом Княгини Урусовой,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Доходный дом князя Гагарина А.Г.,архитектура,Москва,,"(Decimal('37.582664'), Decimal('55.708587'))"
Доходный дом купчихи Е. Е. Емельянова,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Доходный дом купчихи Е.Е. Пальцевой.,архитектура,Нижегородская область,Нижний Новгород,"(Decimal('44.006516'), Decimal('56.326797'))"
Доходный дом купца Елисеева.,архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.295683'), Decimal('59.920154'))"
Доходный дом купчихи Чувильдиной.,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.675322'), Decimal('56.833161'))"
Доходный дом мещанина А. Ф. Выходцева,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
"Многоквартирный дом по улице Чаплыгина, 45.",архитектура,Новосибирская область,Новосибирск,"(Decimal('82.916136'), Decimal('55.025797'))"
Доходный дом страхового общества &quot;Саламандра&quot;,архитектура,Санкт-Петербург,Санкт-Петербург,Not found
религиозная школа,архитектура,Пермь,Соликамск,"(Decimal('56.771029'), Decimal('59.648333'))"
религиозная школа,архитектура,Костромская область,Кострома,"(Decimal('40.926858'), Decimal('57.767961'))"
поселок Дымково,архитектура,Вологодская область,великий Устюг,"(Decimal('46.29784'), Decimal('60.761156'))"
Елецкие куранты,архитектура,Липецкая область,Елец,"(Decimal('38.485525'), Decimal('52.584205'))"
Елизаветинская академическая галерея,архитектура,Ставропольский край,Пятигорск,"(Decimal('43.07084'), Decimal('44.03929'))"
Елизаветинская школа рукоделия,архитектура,Пермь,Кунгур,"(Decimal('56.944206'), Decimal('57.42881'))"
Елизаветинские ворота,архитектура,Оренбургская область,Оренбург,"(Decimal('55.096955'), Decimal('51.768199'))"
Елисеев Продуктовый магазин,архитектура,Москва,,"(Decimal('37.617635'), Decimal('55.755814'))"
Железнодорожная станция Сарепта,архитектура,Волгоградская область,Волгоград,"(Decimal('44.51181'), Decimal('48.519512'))"
Железнодорожный вокзал,архитектура,Амурская область,Благовещенск,"(Decimal('127.527173'), Decimal('50.29064'))"
Железнодорожный вокзал,архитектура,Иркутская область,,"(Decimal('106.363305'), Decimal('57.100294'))"
Железнодорожный вокзал XIX века в деревне Вяртсиля.,архитектура,Республика Карелия,Вяртсиля,"(Decimal('30.644301'), Decimal('62.167147'))"
"Железнодорожная станция ""Вятка""",архитектура,Кировская область,Киров,"(Decimal('49.567142'), Decimal('58.628421'))"
Железнодорожный вокзал в Великом Новгороде.,архитектура,Новгородская область,Новгород,"(Decimal('31.269915'), Decimal('58.52281'))"
Железнодорожный вокзал во Владивостоке.,архитектура,Приморский край,Владивосток,"(Decimal('131.885485'), Decimal('43.115536'))"
Волгоград-I вокзал,архитектура,Волгоградская область,Волгоград,"(Decimal('44.511621'), Decimal('48.712679'))"
Железнодорожный вокзал в Йошкар-Оле,архитектура,Республика Марий Эл,,"(Decimal('48.197858'), Decimal('56.485739'))"
Нижегородский вокзал,архитектура,Нижегородская область,,"(Decimal('44.279559'), Decimal('56.595648'))"
Железнодорожный вокзал Орск,архитектура,Оренбургская область,Орск,"(Decimal('58.475196'), Decimal('51.229362'))"
Железнодорожная станция Чита-2,архитектура,Забайкальский край,Чита,"(Decimal('113.49468'), Decimal('52.028045'))"
Железнодорожный вокзал в Гагарине,архитектура,Смоленская область,Гагарин,"(Decimal('34.996845'), Decimal('55.553299'))"
Железнодорожный вокзал в Петрозаводске.,архитектура,Республика Карелия,Петрозаводск,"(Decimal('34.346878'), Decimal('61.785017'))"
Железнодорожный вокзал в Смоленске,архитектура,Смоленская область,Смоленская область,Not found
Железнодорожный вокзал в Чудово.,архитектура,Новгородская область,Прекрасно,"(Decimal('31.679358'), Decimal('59.122705'))"
Железнодорожный вокзал города Ельца.,архитектура,Липецкая область,Елец,"(Decimal('38.503653'), Decimal('52.62419'))"
Железнодорожный вокзал города Астрахани.,архитектура,Астраханская область,Астрахань,"(Decimal('48.033574'), Decimal('46.347869'))"
Район железнодорожного вокзала Иваново,архитектура,Ивановская область,Иваново,"(Decimal('40.973921'), Decimal('57.000348'))"
Железнодорожная станция Слюдянка.,архитектура,Иркутская область,Слюдянка,"(Decimal('103.724046'), Decimal('51.658568'))"
Женская средняя школа,архитектура,Пермь,Соликамск,"(Decimal('56.771029'), Decimal('59.648333'))"
Женская средняя школа,архитектура,Тюменская область,Тюмень,"(Decimal('65.534328'), Decimal('57.153033'))"
Женская семинария,архитектура,Ярославская область,Ярославль,"(Decimal('39.893804'), Decimal('57.626559'))"
Женское епархиальное училище,архитектура,Костромская область,Кострома,"(Decimal('40.926858'), Decimal('57.767961'))"
Жилой деревянный дом,архитектура,Новосибирская область,Новосибирск,"(Decimal('82.92043'), Decimal('55.030199'))"
Дом,архитектура,Тюменская область,Тюмень,"(Decimal('65.523036'), Decimal('57.151969'))"
Дом,архитектура,Тюменская область,Тюмень,"(Decimal('65.523036'), Decimal('57.151969'))"
Жилой дом ПМ Флорина,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.056635'), Decimal('56.750048'))"
Жилой дом ТМ Групилон,архитектура,Пермь,Пермский,"(Decimal('56.300859'), Decimal('58.003503'))"
Жилой дом братьев Серебряковых.,архитектура,Волгоградская область,Волгоград,"(Decimal('44.471305'), Decimal('48.733886'))"
Жилой дом купца В.Ф. Плюснина.,архитектура,Хабаровский край,Хабаровск,"(Decimal('135.071917'), Decimal('48.480223'))"
Жилой дом купца Г. М. Сметанина.,архитектура,Новгородская область,Демянск,Not found
Жилой дом купцов Колобовниковых,архитектура,Забайкальский край,Нерчинск,Not found
Жилой дом начала XX века,архитектура,Алтайский край,Барнаул,"(Decimal('83.774503'), Decimal('53.362495'))"
Жилой дом на Советской,архитектура,Новосибирская область,Сузуки,"(Decimal('82.32791'), Decimal('53.787183'))"
Жилой комплекс «Второй дом горсовета»,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.597465'), Decimal('56.838011'))"
Жилой дом (Вычислительный центр),архитектура,Волгоградская область,Волгоград,"(Decimal('44.493143'), Decimal('48.750082'))"
Жилой дом Вахрушева,архитектура,Кировская область,Вахруши,"(Decimal('50.026406'), Decimal('58.684657'))"
Жилые дома купцов Шмулевских.,архитектура,Забайкальский край,Нерчинск,Not found
Заалав,архитектура,Калининградская область,Каменское,"(Decimal('21.552264'), Decimal('54.657032'))"
Сельский коттеджный архитектор Малахов.,архитектура,Свердловская область,Екатеринбург,"(Decimal('60.622502'), Decimal('56.79238'))"
"Дачный проспект, 42",архитектура,Санкт-Петербург,Санкт-Петербург,"(Decimal('30.336341'), Decimal('59.923491'))"
Закхаймские ворота,архитектура,Калининградская область,Калининград,"(Decimal('20.512733'), Decimal('54.710454'))"
Замковый комплекс Пуи,архитектура,Республика Ингушетия,Пюи,"(Decimal('44.939588'), Decimal('42.804024'))"
Замковый комплекс Пялинг,архитектура,Республика Ингушетия,Пялинг,"(Decimal('44.98798'), Decimal('42.825227'))"
Замковый комплекс Гамышки,архитектура,Республика Ингушетия,Ляжги,"(Decimal('44.734484'), Decimal('42.808773'))"
Замок Георгенбург,архитектура,Калининградская область,,"(Decimal('21.218944'), Decimal('54.56009'))"
Замок Лабиау,архитектура,Калининградская область,Полесск,"(Decimal('21.10068'), Decimal('54.855486'))"
Замок Леванова,архитектура,Республика Северная Осетия - Алания,Лезгор,"(Decimal('43.770268'), Decimal('43.015099'))"
Замок Рагнит,архитектура,Калининградская область,Неман,"(Decimal('22.011392'), Decimal('55.036117'))"
Замок Тапиау,архитектура,Калининградская область,Гвардейск,"(Decimal('21.068862'), Decimal('54.635845'))"
Замок Тильзит,архитектура,Калининградская область,Советск,"(Decimal('21.888647'), Decimal('55.081029'))"
